cluster,x.unit,tag_model,tag_serial_number,tag_sensor_type,tag_life,tagger,common_name,total_length_m,life_stage,sex,release_location,project,total_detections,days_at_liberty,days_monitored,days_detected,residency_max,residency_min,residency_ratio,residency_category,consecutive_days,highest_detection_month,artificial_reefs,n_reefs
1,elasmobranch,V13-1X,1561951,None,1825,JQ,Little Skate,0.426,NA,F,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,elasmobranch,V13-1X,1561952,None,1825,JQ,Little Skate,0.433,NA,F,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,elasmobranch,V13-1X,1561953,None,1825,JQ,Winter Skate,0.615,NA,F,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561954,Acc&Press,365,MF,Striped Bass,0.67,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561956,Acc&Press,365,MF,Striped Bass,0.946,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561957,Acc&Press,365,MF,Striped Bass,0.654,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561958,Acc&Press,365,MF,Striped Bass,0.649,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561959,Acc&Press,365,MF,Striped Bass,1.057,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561960,Acc&Press,365,MF,Striped Bass,0.641,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V13AP-1X,1561961,Acc&Press,365,MF,Striped Bass,0.937,NA,U,NA,Southfork,19,1,-27,1,1,-0.037037037,-0.037037037,Transient,1,11,Fire Island,1
1,teleost,V13AP-1X,1561962,Acc&Press,365,NA,Striped Bass,0.686,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561963,Acc&Press,365,MF,Striped Bass,1.177,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561964,Acc&Press,365,FL,Striped Bass,0.705,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561965,Acc&Press,365,MF,Striped Bass,0.674,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561966,Acc&Press,365,MF,Striped Bass,1.015,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561967,Acc&Press,365,FL,Striped Bass,0.646,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V13AP-1X,1561968,Acc&Press,365,MF,Striped Bass,1.128,NA,U,NA,Southfork,60,3,-15,2,0.666666667,-0.133333333,-0.2,Transient,1,11,Fire Island,1
1,teleost,V13AP-1X,1561969,Acc&Press,365,TE,Striped Bass,0.76,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561970,Acc&Press,365,MF,Striped Bass,0.974,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561971,Acc&Press,365,MF,Striped Bass,1.004,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561972,Acc&Press,365,MF,Striped Bass,0.87,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561973,Acc&Press,365,MF,Striped Bass,0.897,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561974,Acc&Press,365,FL,Striped Bass,0.677,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561975,Acc&Press,365,FL,Striped Bass,0.89,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561976,Acc&Press,365,TE,Striped Bass,0.92,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561977,Acc&Press,365,FL,Striped Bass,1.085,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561978,Acc&Press,365,TE,Striped Bass,0.971,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561979,Acc&Press,365,TE,Striped Bass,0.843,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1561980,Acc&Press,365,FL,Striped Bass,0.9,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
